Results_Name,VSPAERO_History
Results_Timestamp,1738525455
Results_Date,2,2,2025
Results_Time,19,44,15
Alpha,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.618589989000000090e-03,1.800791270999999938e-03,1.840152871000000053e-03,1.847215164999999916e-03,1.864734883999999990e-03
CDo,7.035565112000000121e-03,7.072490441999999822e-03,7.079371043000000363e-03,7.082265207000000388e-03,7.086221581999999596e-03
CDt,1.754784714000000084e-03,1.896362924999999951e-03,1.879203893999999977e-03,1.822927645000000036e-03,1.845409216999999895e-03
CDtot,8.654155101000000211e-03,8.873281712999999543e-03,8.919523913999999332e-03,8.929480370999999875e-03,8.950956466000000236e-03
CDtott,8.790349824999999992e-03,8.968853367000000423e-03,8.958574937000000557e-03,8.905192851999999340e-03,8.931630798999999274e-03
CFx,-1.648647628999999918e-03,-2.261830016000000200e-03,-2.357691548999999841e-03,-2.399353799000000179e-03,-2.433219482000000163e-03
CFxi,-8.693793769999999532e-03,-9.343900404000000590e-03,-9.446741842999999486e-03,-9.491291379999999139e-03,-9.529156165000000206e-03
CFxo,7.045146139999999835e-03,7.082070388000000390e-03,7.089050294000000078e-03,7.091937581000000261e-03,7.095936683999999606e-03
CFy,-1.688294509999999928e-04,-6.847370000000000519e-07,-1.050654999999999981e-06,-4.796610000000000227e-07,-6.048059999999999697e-07
CFyi,-1.690587310000000131e-04,-6.827730000000000484e-07,-1.059414999999999961e-06,-4.828800000000000464e-07,-6.054039999999999596e-07
CFyo,2.292799999999999990e-07,-1.963999999999999835e-09,8.760000000000000355e-09,3.219000000000000154e-09,5.989999999999999995e-10
CFz,-1.968158041910000045e-01,-2.127029439979999936e-01,-2.154156556650000109e-01,-2.164008599870000105e-01,-2.174574063739999896e-01
CFzi,-1.968143883479999967e-01,-2.127005405750000133e-01,-2.154149669210000118e-01,-2.163999642389999867e-01,-2.174572223100000035e-01
CFzo,-1.415842999999999981e-06,-2.403423000000000146e-06,-6.887440000000000163e-07,-8.957480000000000083e-07,-1.840639999999999997e-07
CL,-1.966323585210000002e-01,-2.125298170430000022e-01,-2.152438280370000123e-01,-2.162298626049999895e-01,-2.172867334240000114e-01
CLi,-1.969996590789999946e-01,-2.128980638390000069e-01,-2.156141524630000028e-01,-2.166001314190000027e-01,-2.176579222439999906e-01
CLo,3.673005579999999762e-04,3.682467969999999842e-04,3.703244259999999787e-04,3.702688149999999821e-04,3.711888199999999736e-04
CMx,-6.908378134000000073e-03,-1.988471860000000043e-04,-3.709665299999999815e-05,-4.474979000000000409e-06,-1.040565799999999943e-05
CMxi,-6.916364129999999846e-03,-1.986105080000000005e-04,-3.715965800000000112e-05,-4.501847000000000064e-06,-1.043167000000000002e-05
CMxo,7.985996000000000170e-06,-2.366779999999999968e-07,6.300500000000000070e-08,2.686900000000000058e-08,2.601200000000000158e-08
CMy,2.326985075800000122e-02,3.295083771400000167e-02,3.381013536900000227e-02,3.416099905199999898e-02,3.450751856800000211e-02
CMyi,2.188363552599999901e-02,3.155657522500000117e-02,3.241529230700000014e-02,3.276548392300000084e-02,3.311143479300000109e-02
CMyo,1.386215232000000044e-03,1.394262488000000064e-03,1.394843062999999959e-03,1.395515129000000085e-03,1.396083774999999942e-03
CMz,1.720061489999999936e-04,4.025099000000000407e-06,3.740050000000000195e-07,-2.493990000000000219e-07,3.782799999999999965e-08
CMzi,1.905392699999999915e-04,4.619456000000000042e-06,4.886149999999999585e-07,-2.381419999999999893e-07,6.228799999999999501e-08
CMzo,-1.853311999999999850e-05,-5.943569999999999534e-07,-1.146100000000000052e-07,-1.125699999999999949e-08,-2.445999999999999867e-08
CS,-1.688294509999999928e-04,-6.847370000000000519e-07,-1.050654999999999981e-06,-4.796610000000000227e-07,-6.048059999999999697e-07
CSi,-1.690587310000000131e-04,-6.827730000000000484e-07,-1.059414999999999961e-06,-4.828800000000000464e-07,-6.054039999999999596e-07
CSo,2.292799999999999990e-07,-1.963999999999999835e-09,8.760000000000000355e-09,3.219000000000000154e-09,5.989999999999999995e-10
E,9.348237898419999858e-01,9.813314187449999615e-01,9.850001132629999656e-01,9.902289137630000404e-01,9.905297405720000503e-01
FC_AoA_,-3.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,3.500000000000000000e+00
FC_Cref_,4.287000000000000255e-01
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.000000000000000000e+07
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.500450000000000061e+00
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,-1.000000000000000056e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,5.566299999999999720e-02
L/D,-2.276359237607600150e+01,-2.399315954581999932e+01,-2.417328038296000159e+01,-2.425674534359000134e+01,-2.431672224920399827e+01
Mach,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History
Results_Timestamp,1738525455
Results_Date,2,2,2025
Results_Time,19,44,15
