Results_Name,VSPAERO_History
Results_Timestamp,1738536729
Results_Date,2,2,2025
Results_Time,22,52,9
Alpha,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.618589989000000090e-03,1.800788219999999986e-03,1.840151783000000063e-03,1.847216208000000085e-03,1.864736133999999983e-03,1.875407550999999909e-03,1.861215511999999954e-03,1.850498644999999925e-03,1.859611432999999951e-03,1.878459310999999916e-03
CDo,7.035565112000000121e-03,7.072489965000000427e-03,7.079370865000000207e-03,7.082265406999999589e-03,7.086221787000000077e-03,7.086370841000000365e-03,7.083140713999999671e-03,7.082526664999999957e-03,7.085610515999999671e-03,7.087547982999999573e-03
CDt,1.754784714000000084e-03,1.896359638000000075e-03,1.879202840000000069e-03,1.822928747999999965e-03,1.845410522000000102e-03,1.909364924999999973e-03,1.893431352999999998e-03,1.827116728000000067e-03,1.819693084999999926e-03,1.898298755000000105e-03
CDtot,8.654155101000000211e-03,8.873278184999999763e-03,8.919522649000000483e-03,8.929481615000000108e-03,8.950957920999999193e-03,8.961778392000000273e-03,8.944356226000000493e-03,8.933025310000000316e-03,8.945221948999999839e-03,8.966007293999999489e-03
CDtott,8.790349824999999992e-03,8.968849602999999851e-03,8.958573705000000276e-03,8.905194155000000639e-03,8.931632308999999312e-03,8.995735766000000772e-03,8.976572066999999669e-03,8.909643393000000675e-03,8.905303600999999597e-03,8.985846739000000541e-03
CFx,-1.648647628999999918e-03,-2.261824621000000073e-03,-2.357689033999999916e-03,-2.399355688000000004e-03,-2.433221482999999973e-03,-2.424201773999999903e-03,-2.399947537999999950e-03,-2.406317283000000001e-03,-2.435292880999999875e-03,-2.438811243999999823e-03
CFxi,-8.693793769999999532e-03,-9.343894518000000690e-03,-9.446739145999999421e-03,-9.491293467999999470e-03,-9.529158373000000057e-03,-9.520329920000000778e-03,-9.492810313000000014e-03,-9.498524988999999460e-03,-9.530603296999999585e-03,-9.536119335999999544e-03
CFxo,7.045146139999999835e-03,7.082069897000000183e-03,7.089050111999999938e-03,7.091937779999999900e-03,7.095936889999999650e-03,7.096128145999999574e-03,7.092862775000000064e-03,7.092207704999999897e-03,7.095310415999999711e-03,7.097308091999999721e-03
CFy,-1.688294509999999928e-04,-6.788720000000000454e-07,-1.049534999999999981e-06,-4.811749999999999924e-07,-6.054380000000000511e-07,5.945800000000000209e-08,6.635240000000000062e-07,3.979499999999999999e-08,-6.281360000000000072e-07,-2.618479999999999767e-07
CFyi,-1.690587310000000131e-04,-6.769009999999999545e-07,-1.058292000000000091e-06,-4.843929999999999886e-07,-6.060350000000000133e-07,5.956800000000000109e-08,6.633459999999999632e-07,3.660300000000000026e-08,-6.315230000000000097e-07,-2.608279999999999848e-07
CFyo,2.292799999999999990e-07,-1.970999999999999915e-09,8.757000000000000262e-09,3.217999999999999848e-09,5.970000000000000064e-10,-1.099999999999999950e-10,1.780000000000000057e-10,3.192000000000000144e-09,3.386999999999999988e-09,-1.021000000000000093e-09
CFz,-1.968158041910000045e-01,-2.127027736300000083e-01,-2.154155834890000010e-01,-2.164009197900000070e-01,-2.174574723619999983e-01,-2.174921162959999876e-01,-2.166964269559999989e-01,-2.166014654739999989e-01,-2.173873979329999928e-01,-2.178516845900000110e-01
CFzi,-1.968143883479999967e-01,-2.127003699620000077e-01,-2.154148946680000121e-01,-2.164000240170000089e-01,-2.174572883199999973e-01,-2.174927336049999882e-01,-2.166964563590000059e-01,-2.166007282390000066e-01,-2.173869398130000019e-01,-2.178523245750000059e-01
CFzo,-1.415842999999999981e-06,-2.403667999999999921e-06,-6.888210000000000242e-07,-8.957729999999999572e-07,-1.840420000000000012e-07,6.173090000000000387e-07,2.940299999999999866e-08,-7.372350000000000235e-07,-4.581199999999999756e-07,6.399850000000000229e-07
CL,-1.966323585210000002e-01,-2.125296466259999906e-01,-2.152437558289999886e-01,-2.162299224249999985e-01,-2.172867994269999936e-01,-2.173209238269999954e-01,-2.165250555830000034e-01,-2.164305576099999906e-01,-2.172169294409999896e-01,-2.176807639459999999e-01
CLi,-1.969996590789999946e-01,-2.128978931520000006e-01,-2.156140801679999885e-01,-2.166001912249999883e-01,-2.176579882799999921e-01,-2.176929229429999946e-01,-2.168962967020000021e-01,-2.168009988569999935e-01,-2.175878118050000032e-01,-2.180528474600000044e-01
CLo,3.673005579999999762e-04,3.682465259999999829e-04,3.703243390000000011e-04,3.702687999999999878e-04,3.711888530000000044e-04,3.719991150000000017e-04,3.712411189999999771e-04,3.704412479999999843e-04,3.708823640000000134e-04,3.720835140000000010e-04
CMx,-6.908378134000000073e-03,-1.986893649999999997e-04,-3.705742099999999941e-05,-4.520176999999999938e-06,-1.041358700000000083e-05,4.452847999999999587e-06,2.445163500000000056e-05,1.753226999999999901e-06,-2.129282499999999887e-05,-5.688633999999999718e-06
CMxi,-6.916364129999999846e-03,-1.984521750000000089e-04,-3.712033699999999886e-05,-4.547207999999999646e-06,-1.043962399999999978e-05,4.457508999999999711e-06,2.448462199999999951e-05,1.754691999999999894e-06,-2.132352799999999999e-05,-5.703682000000000053e-06
