Results_Name,VSPAERO_History
Results_Timestamp,1738538264
Results_Date,2,2,2025
Results_Time,23,17,44
Alpha,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
AnalysisMethod,1
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,7.989407735000000552e-03,3.230750290999999819e-03,3.245972535000000211e-03,3.304280577000000014e-03,3.367843707999999912e-03,3.319584486000000216e-03,3.254852867999999920e-03,3.281164893999999940e-03,3.344238266000000050e-03,3.330751917000000090e-03
CDo,1.693161753999999908e-03,1.716068320000000086e-03,1.714900675000000010e-03,1.716696217999999973e-03,1.719509916999999947e-03,1.718821310999999992e-03,1.716254470000000030e-03,1.716278361999999972e-03,1.718649216000000049e-03,1.719091025999999961e-03
CDt,2.127939242000000033e-03,2.127042108999999993e-03,2.083527361999999803e-03,2.046260233000000203e-03,2.063932028999999977e-03,2.104671601000000000e-03,2.097765272999999910e-03,2.055552615000000131e-03,2.047884112999999798e-03,2.099601058000000187e-03
CDtot,9.682569489000000459e-03,4.946818611000000122e-03,4.960873210000000220e-03,5.020976794999999770e-03,5.087353624999999858e-03,5.038405796999999992e-03,4.971107338000000167e-03,4.997443257000000125e-03,5.062887482000000099e-03,5.049842942999999834e-03
CDtott,3.821100995999999941e-03,3.843110428999999863e-03,3.798428035999999817e-03,3.762956450999999959e-03,3.783441945999999924e-03,3.823492911000000213e-03,3.814019743000000157e-03,3.771830976999999887e-03,3.766533328999999847e-03,3.818692083999999931e-03
CFx,5.208079273999999780e-03,3.047696570000000128e-04,3.312640209999999754e-04,3.657247980000000068e-04,4.100234189999999801e-04,3.791154799999999978e-04,3.346548239999999987e-04,3.486882489999999736e-04,3.905590520000000215e-04,3.857974610000000073e-04
CFxi,3.509490641000000133e-03,-1.416772778000000097e-03,-1.389105385000000050e-03,-1.356445220999999944e-03,-1.314968449000000067e-03,-1.345185608999999996e-03,-1.387072167000000028e-03,-1.373063127000000031e-03,-1.333569815999999936e-03,-1.338774118999999999e-03
CFxo,1.698588633000000080e-03,1.721542434999999947e-03,1.720369405999999917e-03,1.722170018000000009e-03,1.724991867999999939e-03,1.724301088999999993e-03,1.721726990999999972e-03,1.721751375999999896e-03,1.724128867999999903e-03,1.724571578999999901e-03
CFy,-1.081865929999999994e-04,5.627836700000000286e-05,-2.517086000000000044e-06,-1.040325399999999999e-05,-9.357635000000000743e-06,-7.834652000000000082e-06,-5.785130999999999686e-06,-3.382788000000000129e-06,6.433658000000000024e-06,7.483872999999999929e-06
CFyi,-1.018080490000000058e-04,5.996568600000000258e-05,-3.216316999999999855e-06,-1.082108499999999941e-05,-9.707203000000000714e-06,-8.155806999999999890e-06,-6.120459999999999842e-06,-3.721717999999999948e-06,6.091558999999999761e-06,7.111375000000000163e-06
CFyo,-6.378544000000000368e-06,-3.687319000000000144e-06,6.992310000000000228e-07,4.178310000000000044e-07,3.495689999999999984e-07,3.211550000000000194e-07,3.353289999999999979e-07,3.389299999999999783e-07,3.420989999999999983e-07,3.724979999999999782e-07
CFz,-8.563190640199999648e-02,-8.870510760699999719e-02,-8.846811077600000295e-02,-8.895897859300000432e-02,-8.938199404400000436e-02,-8.903649070199999571e-02,-8.859895719099999956e-02,-8.883439238500000223e-02,-8.928591379899999958e-02,-8.912752415800000161e-02
CFzi,-8.569112042099999438e-02,-8.876462310700000691e-02,-8.852755412799999390e-02,-8.901847164899999443e-02,-8.944156894900000265e-02,-8.909604218500000172e-02,-8.865843739999999806e-02,-8.889388137499999731e-02,-8.934546738099999330e-02,-8.918708336199999975e-02
CFzo,5.921401899999999784e-05,5.951550000000000302e-05,5.944335200000000285e-05,5.949305600000000097e-05,5.957490499999999810e-05,5.955148300000000081e-05,5.948021000000000086e-05,5.948898999999999843e-05,5.955358200000000264e-05,5.955920400000000155e-05
CL,-8.524198104100000339e-02,-8.856758992900000405e-02,-8.832953128499999862e-02,-8.881792284700000539e-02,-8.923804016000000394e-02,-8.889462791499999628e-02,-8.846002091900000142e-02,-8.869439900400000187e-02,-8.914311027599999826e-02,-8.898518690499999939e-02
CLi,-8.539001117000000196e-02,-8.871712243500000372e-02,-8.847893034999999851e-02,-8.896746578500000502e-02,-8.938781251800000105e-02,-8.904434073099999625e-02,-8.860952784099999924e-02,-8.884391597200000379e-02,-8.929281617499999768e-02,-8.913492158800000176e-02
CLo,1.480301280000000076e-04,1.495325060000000017e-04,1.493990649999999950e-04,1.495429380000000050e-04,1.497723580000000080e-04,1.497128159999999979e-04,1.495069219999999900e-04,1.495169669999999948e-04,1.497058989999999897e-04,1.497346830000000084e-04
CMx,7.521138499999999649e-04,-4.136102599999999697e-05,-2.456898099999999942e-05,-5.777339999999999983e-06,4.973579000000000175e-06,9.048776999999999236e-06,7.822435000000000602e-06,3.699012999999999799e-06,-1.843610999999999898e-06,-8.518494999999999491e-06
CMxi,7.522193260000000414e-04,-4.142152200000000331e-05,-2.456275799999999980e-05,-5.772695000000000301e-06,4.979483999999999910e-06,9.054680999999999578e-06,7.828000000000000268e-06,3.704340000000000095e-06,-1.839008000000000105e-06,-8.514382999999999487e-06
